序号,总车次,延时开始时间,延时结束时间,延时线路,共享时间,更新时间
174210847066509,7,17/2/2024 23:20:00,17/2/2024 23:50:00,2号线北京站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066510,7,18/2/2024 23:20:00,18/2/2024 23:50:00,2号线北京站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066511,6,15/2/2024 23:22:00,15/2/2024 23:52:00,2号线北京站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066512,6,16/2/2024 23:22:00,16/2/2024 23:52:00,2号线北京站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066513,6,17/2/2024 23:22:00,17/2/2024 23:52:00,2号线北京站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066514,6,18/2/2024 23:22:00,18/2/2024 23:52:00,2号线北京站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066515,6,5/2/2024 23:23:00,5/2/2024 23:53:00,4号线北京南站-安河桥北上行,2024/2/5 13:20,1/7/2024 02:00:00
174210847066516,6,6/2/2024 23:23:00,6/2/2024 23:53:00,4号线北京南站-安河桥北上行,2024/2/5 13:20,1/7/2024 02:00:00
174210847066517,6,7/2/2024 23:23:00,7/2/2024 23:53:00,4号线北京南站-安河桥北上行,2024/2/5 13:20,1/7/2024 02:00:00
174210847066518,12,15/2/2024 23:23:00,16/2/2024 00:23:00,4号线北京南站-安河桥北上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066519,12,16/2/2024 23:23:00,17/2/2024 00:23:00,4号线北京南站-安河桥北上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066520,12,17/2/2024 23:23:00,18/2/2024 00:23:00,4号线北京南站-安河桥北上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066521,12,18/2/2024 23:23:00,19/2/2024 00:23:00,4号线北京南站-安河桥北上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066522,7,5/2/2024 23:14:00,5/2/2024 23:44:00,7号线北京西站上行,2024/2/5 13:20,1/7/2024 02:00:00
174210847066523,7,6/2/2024 23:14:00,6/2/2024 23:44:00,7号线北京西站上行,2024/2/5 13:20,1/7/2024 02:00:00
174210847066524,7,7/2/2024 23:14:00,7/2/2024 23:44:00,7号线北京西站上行,2024/2/5 13:20,1/7/2024 02:00:00
174210847066525,13,15/2/2024 23:14:00,16/2/2024 00:14:00,7号线北京西站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066526,13,16/2/2024 23:14:00,17/2/2024 00:14:00,7号线北京西站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066527,13,17/2/2024 23:14:00,18/2/2024 00:14:00,7号线北京西站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066528,13,18/2/2024 23:14:00,19/2/2024 00:14:00,7号线北京西站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066529,12,15/2/2024 23:47:00,16/2/2024 00:47:00,14号线东风北桥-善各庄上行,2024/2/15 13:20,1/7/2024 02:00:00
